# BEYBLADE X 官方商品一覽（原始擷取資料）
# 來源：https://beyblade.takaratomy.co.jp/beyblade-x/lineup/
# 擷取日期：2026-09-16
# 欄位：型號|日文商品名|官方分類|發售日|官方商品頁路徑
# 本檔為原始資料，請勿手動修改內容；要更新請重新擷取官方頁面並整檔替換。
BX-01|ドランソード3-60F|スターター|2023.7.15|/beyblade-x/lineup/bx01.html
BX-02|ヘルズサイズ4-60T|スターター|2023.7.15|/beyblade-x/lineup/bx02.html
BX-03|ウィザードアロー4-80B|スターター|2023.7.15|/beyblade-x/lineup/bx03.html
BX-04|ナイトシールド3-80N|スターター|2023.7.15|/beyblade-x/lineup/bx04.html
BX-05|ウィザードアロー4-80B|ブースター|2023.7.15|/beyblade-x/lineup/bx05.html
BX-06|ナイトシールド3-80N|ブースター|2023.7.15|/beyblade-x/lineup/bx06.html
BX-07|スタートダッシュセット|セット|2023.7.15|/beyblade-x/lineup/bx07.html
BX-08|3on3デッキセット|セット|2023.7.15|/beyblade-x/lineup/bx08.html
BX-09|ベイバトルパス|ツール|2023.7.15|/beyblade-x/lineup/bx09.html
BX-10|エクストリームスタジアム|ツール|2023.7.15|/beyblade-x/lineup/bx10.html
BX-11|ランチャーグリップ|ツール|2023.7.15|/beyblade-x/lineup/bx11.html
BX-12|3on3デッキケース|ツール|2023.7.15|/beyblade-x/lineup/bx12.html
BX-00|エクストリームスタジアム ライトパッケージ|ツール|2023.7.15|/beyblade-x/lineup/bx00-es.html
BX-00|ドランザースパイラル3-80T|ブースター|2023.7.15|/beyblade-x/lineup/bx00-ds.html
BX-13|ナイトランス4-80HN|ブースター|2023.8.10|/beyblade-x/lineup/bx13.html
BX-14|ランダムブースターVol.1|ランダムブースター|2023.9.9|/beyblade-x/lineup/bx14.html
BX-00|ヘルズサイズ4-60T メタルコート:ゴールド|ブースター|2023.9.11|/beyblade-x/lineup/bx00-hc.html
BX-15|レオンクロー5-60P|スターター|2023.10.7|/beyblade-x/lineup/bx15.html
BX-16|ランダムブースター ヴァイパーテイルセレクト|ランダムブースター|2023.10.7|/beyblade-x/lineup/bx16.html
BX-17|バトルエントリーセット|セット|2023.10.7|/beyblade-x/lineup/bx17.html
BX-18|ストリングランチャー|ツール|2023.10.7|/beyblade-x/lineup/bx18.html
BX-19|ライノホーン3-80S|ブースター|2023.11.2|/beyblade-x/lineup/bx19.html
BX-20|ドランダガーデッキセット|セット|2023.11.2|/beyblade-x/lineup/bx20.html
BX-21|ヘルズチェインデッキセット|セット|2023.11.2|/beyblade-x/lineup/bx21.html
BX-22|ドランソード3-60F エントリーパッケージ|スターター|2023.12.2|/beyblade-x/lineup/bx22.html
BX-23|フェニックスウイング9-60GF|スターター|2023.12.27|/beyblade-x/lineup/bx23.html
BX-24|ランダムブースターVol.2|ランダムブースター|2023.12.27|/beyblade-x/lineup/bx24.html
BX-25|ギアケース|ツール|2023.12.27|/beyblade-x/lineup/bx25.html
BX-26|ユニコーンスティング5-60GP|ブースター|2024.1.27|/beyblade-x/lineup/bx26.html
BX-27|ランダムブースター スフィンクスカウルセレクト|ランダムブースター|2024.2.22|/beyblade-x/lineup/bx27.html
BX-00|レオンクロー5-60P メタルコート:ゴールド|ブースター|2024.2.22|/beyblade-x/lineup/bx00-lc.html
BX-00|シャークエッジ5-60GF メタルコート:ブルー|ブースター|2024.3.23|/beyblade-x/lineup/bx00-se.html
BX-28|ストリングランチャー ホワイトVer.|ツール|2024.3.30|/beyblade-x/lineup/bx28.html
BX-29|カスタムグリップ ホワイトVer.|ツール|2024.3.30|/beyblade-x/lineup/bx29.html
BX-30|カスタムグリップ レッドVer.|ツール|2024.3.30|/beyblade-x/lineup/bx30.html
UX-01|ドランバスター1-60A|スターター|2024.3.30|/beyblade-x/lineup/ux01.html
UX-02|ヘルズハンマー3-70H|スターター|2024.3.30|/beyblade-x/lineup/ux02.html
UX-03|ウィザードロッド5-70DB|ブースター|2024.3.30|/beyblade-x/lineup/ux03.html
UX-04|バトルエントリーセットU|セット|2024.4.27|/beyblade-x/lineup/ux04.html
BX-00|ドライガースラッシュ4-80P|ブースター|2024.4.27|/beyblade-x/lineup/bx00-drs.html
BX-31|ランダムブースターVol.3|ランダムブースター|2024.4.27|/beyblade-x/lineup/bx31.html
BX-00|ヘルズチェイン5-60HT メタルコート:ブラック|ブースター|2024.5.16|/beyblade-x/lineup/bx00-hch.html
UX-05|ランダムブースター シノビシャドウセレクト|ランダムブースター|2024.5.18|/beyblade-x/lineup/ux05.html
BX-00|カスタムグリップ クリアブラックVer.|ツール|2024.6.1|/beyblade-x/lineup/bx00-cg.html
BX-33|ヴァイスタイガー3-60U|ブースター|2024.6.15|/beyblade-x/lineup/bx33.html
BX-32|ワイドエクストリームスタジアム|ツール|2024.7.13|/beyblade-x/lineup/bx32.html
BX-34|コバルトドラグーン2-60C|スターター|2024.7.13|/beyblade-x/lineup/bx34.html
BX-35|ランダムブースターVol.4|ランダムブースター|2024.7.13|/beyblade-x/lineup/bx35.html
BX-00|ベイブレードステッカー 01|ツール|2024.7.30|/beyblade-x/lineup/bx00-st01.html
BX-00|ベイブレードステッカー 02|ツール|2024.7.30|/beyblade-x/lineup/bx00-st02.html
BX-00|ベイブレードステッカー 03|ツール|2024.7.30|/beyblade-x/lineup/bx00-st03.html
BX-00|ビットセット F/T/B/N ゴールド×ブラック|セット|2024.7.30|/beyblade-x/lineup/bx00-bit01.html
BX-00|ドランダガー2-80GP メタルコート:ブラック ジャイアンツVer.|スターター|2024.8.3|/beyblade-x/lineup/bx00-dd.html
BX-00|ドランザースパイラル3-80T ブラックVer.|ブースター|2024.8.10|/beyblade-x/lineup/bx00-ds3.html
UX-06|レオンクレスト7-60GN|ブースター|2024.8.10|/beyblade-x/lineup/ux06.html
UX-07|フェニックスラダーデッキセット|セット|2024.8.10|/beyblade-x/lineup/ux07.html
BX-00|コバルトドラグーン2-60C メタルコート:ブラック|スターター|2024.8.31|/beyblade-x/lineup/bx00-cd.html
BX-00|ランダムブースター ライトニングエルドラゴ1-60F|ランダムブースター|2024.9.14|/beyblade-x/lineup/bx00-ld.html
BX-36|ランダムブースター ホエールウェーブセレクト|ランダムブースター|2024.9.14|/beyblade-x/lineup/bx36.html
UX-08|シルバーウルフ3-80FB|スターター|2024.10.12|/beyblade-x/lineup/ux08.html
BX-37|ダブルエクストリームスタジアムセット|セット|2024.10.12|/beyblade-x/lineup/bx37.html
BX-38|クリムゾンガルーダ4-70TP|ブースター|2024.11.2|/beyblade-x/lineup/bx38.html
UX-09|サムライセイバー2-70L|スターター|2024.11.2|/beyblade-x/lineup/ux09.html
UX-10|カスタマイズセットU|セット|2024.11.2|/beyblade-x/lineup/ux10.html
